barca_score,opponent_score,Marc-André ter Stegen,Nélson Semedo,Javier Mascherano,Samuel Umtiti,Jordi Alba,Gerard Deulofeu,Ivan Rakitic,Sergio Busquets,Paco Alcácer,Sergi Roberto,Lionel Messi,Lucas Digne,Denis Suárez,Aleix Vidal,Gerard Piqué,Andrés Iniesta,Paulinho,Luis Suárez,Ousmane Dembélé,André Gomes,Thomas Vermaelen,José Arnáiz,Philippe Coutinho,Yerry Mina,Jasper Cillessen
2,0,6.46,7.17,7.01,6.92,6.94,7.28,7.35,7.15,6.4,7.48,8.36,6.01,6.18,6.01,,,,,,,,,,,
2,0,7.0,,,7.01,7.33,7.31,7.55,7.77,6.73,7.13,9.82,,6.71,6.5,7.41,8.01,6.1,,,,,,,,
5,0,7.44,6.99,,7.5,8.41,7.31,9.37,7.06,,,10.0,,,,8.16,6.82,6.11,8.34,6.75,6.37,,,,,
2,1,6.56,,,7.48,6.25,6.2,6.68,7.15,,7.83,7.85,,7.18,,6.94,6.52,7.32,6.33,6.26,,,,,,
6,1,7.1,7.99,7.28,,,7.46,6.36,7.09,,6.55,10.0,7.38,8.4,6.82,7.34,6.63,8.66,,,,,,,,
3,0,7.13,,7.52,7.01,7.59,,7.11,6.85,,7.67,7.67,,5.97,6.84,,7.46,6.55,7.86,,6.08,,,,,
3,0,6.84,,7.25,,7.38,,6.61,8.14,,8.17,10.0,,7.83,6.13,6.79,6.5,6.09,8.22,,6.18,,,,,
1,1,6.74,6.36,,6.89,6.82,6.54,6.39,7.08,,7.09,8.28,,,,6.42,6.52,6.14,7.84,,7.06,,,,,
2,0,7.67,6.35,7.68,7.12,,7.44,7.14,7.24,6.19,7.72,8.26,7.7,,,,7.96,6.36,6.34,,,,,,,
2,0,8.41,6.23,,7.55,7.61,,7.5,7.42,,7.46,9.09,,,,7.39,,8.3,7.42,,6.69,,,,,
2,1,6.42,6.61,6.18,7.1,6.51,6.2,7.39,7.2,8.32,,7.95,,,,7.24,6.36,6.26,6.23,,,,,,,
3,0,7.98,6.67,,7.79,8.33,,7.33,8.43,6.69,,7.29,,6.28,6.07,7.11,7.18,7.95,8.49,,,,,,,
1,1,5.8,6.46,,7.39,7.25,6.19,6.45,7.44,,,8.16,,6.5,6.24,,6.43,6.71,6.36,,,6.67,,,,
2,2,6.41,,,6.48,7.97,,6.91,6.94,6.02,7.13,8.67,,6.57,,6.7,6.98,7.62,7.76,,,6.0,,,,
2,0,7.65,,,,7.78,,6.72,7.47,7.08,8.15,9.07,,6.69,6.64,7.55,,6.84,7.63,,6.02,7.54,,,,
4,0,7.23,,,,7.64,,7.73,,6.22,7.72,8.5,6.1,,7.21,7.32,7.11,9.0,10.0,,6.33,6.72,,,,
3,0,7.89,6.3,,,7.64,,7.32,7.07,,8.49,10.0,,,7.1,7.4,7.21,7.08,8.12,,5.97,7.01,,,,
3,0,7.43,6.61,7.51,,7.89,,7.4,,,7.9,9.76,,,,,6.77,7.94,7.93,7.06,6.35,7.47,6.21,,,
4,2,6.7,,,,6.99,,6.97,6.7,,7.09,9.27,6.38,6.0,,6.46,,6.77,9.27,6.5,6.46,7.57,,,,
5,0,7.22,7.56,,7.03,7.32,6.03,9.13,8.16,,8.55,10.0,,,,7.16,,6.85,10.0,,6.19,6.62,,,,
2,1,6.88,6.37,,6.78,6.51,,7.86,,6.28,6.86,9.18,6.62,,,6.51,7.96,6.67,7.67,,,,,6.24,,
1,1,6.08,6.86,,6.9,5.98,,,6.72,6.31,6.49,6.83,6.38,,,7.44,8.01,6.71,6.58,,,,,7.29,,
0,0,7.09,,,,6.85,,6.77,7.0,6.54,7.12,7.38,7.26,,,,6.34,6.32,6.42,6.49,,,,6.72,7.59,
2,0,7.23,6.04,,7.3,8.36,,6.62,7.64,,7.33,7.97,,,6.62,7.86,6.4,7.04,7.83,,,,,6.76,,
6,1,7.61,6.83,,5.8,6.76,,7.45,6.54,,6.23,10.0,,,,6.42,,6.14,10.0,8.18,,6.53,,9.25,,
1,1,5.88,,,7.04,,,6.05,7.1,,6.52,8.59,6.15,,6.35,,6.47,5.91,6.53,6.5,,6.5,,6.4,,
1,0,6.78,,,7.13,6.99,,6.86,7.15,,7.2,8.72,,,,8.02,6.96,6.16,6.95,,6.52,,,7.99,,
2,0,7.03,,,7.04,7.52,,7.61,7.71,,6.98,,6.12,,6.11,7.35,,7.05,8.09,8.42,6.35,,,8.17,,
2,0,7.14,,,7.24,7.95,,7.31,,7.2,7.32,9.06,,,6.09,7.65,6.57,7.32,,6.96,6.02,,,8.15,,
2,2,6.57,,,6.96,6.71,,6.66,,6.16,6.93,7.89,,6.87,,7.67,6.76,5.92,8.11,6.63,,,,7.6,,
3,1,6.15,7.14,,,6.49,,7.24,,,7.13,10.0,,6.29,,6.78,6.06,,6.54,7.29,7.39,7.0,,7.24,,
2,1,6.67,6.0,,7.46,7.39,,,7.03,,7.0,8.14,,5.9,,7.2,7.93,6.63,7.8,5.32,,,,8.61,,
2,2,7.09,7.11,,,,,,,8.15,5.22,6.29,6.66,6.57,5.93,,,7.3,,7.76,6.22,6.27,,7.11,6.74,
4,2,6.98,6.81,,6.72,6.79,,6.36,6.85,,,10.0,,6.6,,7.05,6.02,6.33,9.51,7.31,,,,7.73,,
2,2,5.93,6.18,,6.03,6.32,,6.91,7.19,6.0,6.18,8.27,,,,6.75,6.5,6.03,7.58,,,,,6.44,,
5,1,,6.46,,,,,7.23,7.46,,,9.39,7.89,,,6.72,7.28,7.7,6.68,9.95,,6.67,,8.81,6.73,7.41
4,5,5.28,6.8,,,6.27,,5.88,7.09,6.2,,,,6.94,,6.7,6.5,,7.66,6.63,,5.71,,9.71,6.5,
1,0,6.91,7.63,,,7.71,,7.12,6.96,6.04,,6.94,,6.45,,7.32,7.04,,6.71,7.59,,,,7.7,6.91,
3,0,7.92,7.74,,7.29,7.08,,7.56,7.07,,6.03,9.7,,,,7.42,8.02,6.06,6.94,7.13,6.13,,,,,
