barca_score,opponent_score,Marc-André ter Stegen,Sergi Roberto,Samuel Umtiti,Gerard Piqué,Jordi Alba,Philippe Coutinho,Ivan Rakitic,Sergio Busquets,Lionel Messi,Luis Suárez,Ousmane Dembélé,Malcom,Arturo Vidal,Munir El Haddadi,Nélson Semedo,Arthur,Clément Lenglet,Rafinha,Thomas Vermaelen,Carles Aleñá,Denis Suárez,Kevin-Prince Boateng,Jeison Murillo,Jean-Clair Todibo,Moussa Wague,Riqui Puig,Jasper Cillessen,Álex Collado,Abel Ruiz,Carles Pérez,Juan Miranda
1,0,7.67,7.79,6.76,7.24,6.97,7.14,6.7,6.95,6.94,6.13,7.51,6.29,6.06,6.04,,,,,,,,,,,,,,,,,
3,0,6.76,7.28,6.97,6.64,7.37,7.67,7.6,7.1,10.0,7.36,6.8,,6.28,,6.45,6.5,,,,,,,,,,,,,,,
8,2,6.15,6.67,6.64,7.25,8.19,9.11,8.8,7.57,10.0,10.0,9.53,,6.36,,,6.37,6.61,,,,,,,,,,,,,,
2,1,6.58,6.42,7.39,7.25,7.07,6.82,6.99,6.75,8.01,7.03,8.39,,6.25,,5.98,,,6.37,,,,,,,,,,,,,
1,2,6.64,6.39,6.01,6.29,6.12,7.55,6.8,6.72,7.21,6.08,6.05,6.06,,6.18,,,,,6.04,,,,,,,,,,,,
2,2,6.08,,6.09,6.13,6.17,6.76,6.23,6.53,9.0,7.04,6.55,,6.98,,6.58,6.47,5.62,,,,,,,,,,,,,,
1,1,6.52,,,7.37,6.69,6.48,6.6,7.13,8.38,6.73,6.1,,,,7.04,6.18,,6.11,6.13,,,,,,,,,,,,
1,1,5.96,6.33,,7.14,6.8,7.28,6.22,6.52,7.84,7.13,7.01,,6.4,6.88,7.13,,6.6,,,,,,,,,,,,,,
5,1,6.61,8.96,,6.41,8.8,7.42,7.12,7.16,,9.74,7.33,,6.89,,6.3,6.49,6.49,6.71,,,,,,,,,,,,,
4,2,7.17,6.25,,7.46,6.89,8.35,7.7,6.55,8.25,8.68,6.85,,,6.12,6.81,7.1,6.48,,,,,,,,,,,,,,
3,4,5.13,6.51,,6.35,6.76,,4.8,6.67,9.17,6.3,,6.14,7.86,7.07,,5.89,6.31,,,6.15,,,,,,,,,,,
3,2,6.27,8.02,,7.41,7.51,5.98,6.58,7.19,,8.61,7.08,,6.47,6.49,,6.15,7.15,6.55,,,,,,,,,,,,,
1,1,5.95,6.62,6.36,6.78,6.27,,,7.31,8.42,6.25,7.33,6.08,6.38,,6.73,6.48,,5.93,,,,,,,,,,,,,
2,0,6.8,,,8.88,7.08,7.17,7.78,7.27,8.74,,9.12,6.13,6.87,,6.72,,6.74,,,6.97,,,,,,,,,,,
4,0,7.18,,,7.05,7.57,6.42,8.28,7.27,10.0,8.34,9.24,,8.24,6.26,8.21,,6.89,,,,6.73,,,,,,,,,,
5,0,8.36,,,8.99,7.38,6.25,7.02,8.54,10.0,8.29,8.18,,7.65,,,6.79,7.41,,6.92,,6.26,,,,,,,,,,
2,0,7.43,,,7.05,8.07,6.04,7.36,7.16,7.99,6.31,7.28,,6.69,,7.44,6.1,6.95,,,6.02,,,,,,,,,,,
2,1,6.26,6.56,,6.52,6.29,6.38,6.89,6.25,8.34,7.43,7.06,,6.35,,,6.83,6.91,,,6.0,,,,,,,,,,,
3,0,7.45,8.09,,7.96,7.63,8.04,6.93,7.26,8.31,10.0,5.97,,6.4,,6.31,6.85,7.99,,,,,,,,,,,,,,
3,1,6.06,6.69,,6.97,8.0,6.94,6.68,6.84,7.69,8.34,9.39,6.63,,,,6.75,,,6.58,7.11,,,,,,,,,,,
2,2,6.86,6.46,,6.48,6.81,6.6,6.95,,8.54,6.79,,5.99,7.15,,6.88,6.14,,,6.48,6.72,,,,,,,,,,,
2,0,7.52,6.15,,7.88,7.37,6.81,7.52,7.0,8.7,7.28,,,6.35,,8.18,6.57,7.12,,6.05,,,,,,,,,,,,
0,0,7.85,7.18,,7.08,,6.86,6.89,6.96,7.04,6.13,6.32,,5.94,,6.61,,6.38,,6.04,6.34,,,,,,,,,,,
1,0,6.43,7.49,,7.96,7.06,6.54,6.12,7.45,8.31,6.41,7.14,,7.37,,,,,,7.14,7.02,,6.39,,,,,,,,,
4,2,6.36,6.99,7.02,6.44,7.06,6.79,7.39,7.52,10.0,8.39,6.86,,6.57,,6.18,,,,,6.18,,,,,,,,,,,
3,1,5.79,,6.56,7.16,6.65,6.94,6.72,7.32,9.53,8.02,6.11,6.0,7.84,,7.14,6.12,,,,,,,,,,,,,,,
