barca_score,opponent_score,Marc-André ter Stegen,Nélson Semedo,Clément Lenglet,Gerard Piqué,Jordi Alba,Frenkie de Jong,Sergi Roberto,Sergio Busquets,Carles Pérez,Antoine Griezmann,Rafinha,Arturo Vidal,Junior Firpo,Ansu Fati,Arthur,Ivan Rakitic,Luis Suárez,Lionel Messi,Carles Aleñá,Ousmane Dembélé,Jean-Clair Todibo,Ronald Araujo,Samuel Umtiti,Moussa Wague,Neto,Riqui Puig,Álex Collado,Martin Braithwaite,Monchu
5,2,5.81,7.67,6.63,6.71,8.06,6.92,8.16,7.88,8.53,9.88,7.55,6.92,6.22,6.1,,,,,,,,,,,,,,,
2,2,6.43,5.98,7.31,6.65,6.11,6.71,6.29,6.7,7.44,6.69,6.32,6.1,,7.32,7.97,,,,,,,,,,,,,,
5,2,6.66,8.01,6.64,7.31,6.77,8.63,,7.49,7.7,8.15,,5.95,,8.32,7.51,5.94,8.36,,,,,,,,,,,,
0,2,6.04,6.06,6.02,6.08,,6.99,6.4,,5.7,5.85,,6.05,5.64,6.29,,5.98,5.91,6.95,,,,,,,,,,,
0,1,7.01,6.69,6.41,6.15,6.68,6.58,6.42,,5.91,6.47,6.92,,,,,6.3,6.29,,6.1,6.02,,,,,,,,,
2,1,5.81,7.02,6.95,6.71,,6.19,6.35,6.87,,7.53,,,6.6,6.3,7.94,,6.6,6.95,,6.49,,,,,,,,,
2,0,7.54,6.43,5.92,7.45,,7.7,6.65,7.53,6.44,6.74,,,7.7,,7.62,6.03,7.7,,,,6.1,,,,,,,,
4,0,7.95,8.16,,7.48,,8.36,7.59,6.55,,,,8.27,,,7.55,6.14,8.34,10.0,,6.75,6.96,5.17,,,,,,,
3,0,6.6,6.63,8.09,,7.1,7.02,6.53,7.09,,8.34,,6.34,,,6.87,6.08,7.75,8.65,,,,,7.78,,,,,,
5,1,6.32,6.85,8.15,7.13,7.1,7.06,6.21,7.15,,6.46,,8.01,,7.26,,6.95,8.73,10.0,,,,,,,,,,,
1,3,5.38,6.32,5.99,6.18,,6.71,6.45,6.16,5.76,6.37,,6.33,,6.04,6.22,,6.69,7.21,,,,,,,,,,,
4,1,6.96,6.47,,6.61,,7.15,7.03,7.68,,6.54,,,6.88,6.15,6.79,,6.26,9.68,,6.95,,,6.97,,,,,,
